,cyclist_id,origin,destination
0,52,24323,20067
1,53,24323,20067
2,56,19768,27795
3,114,26687,28416
4,115,22277,29447
5,116,29117,22277
6,118,22277,22764
7,121,13068,18579
8,122,22277,28215
9,123,27938,22277
10,124,22277,29117
11,125,29117,22277
12,128,16112,26024
13,129,21690,23853
14,130,23757,21645
15,131,11431,12006
16,132,22260,21367
17,133,19792,26904
18,134,21367,22557
19,135,27914,25712
20,137,26309,26042
21,139,19121,28095
22,140,27798,17885
23,141,10030,19726
24,142,20724,22863
25,143,28095,17885
26,144,25200,11009
27,145,28161,19407
28,147,11623,11754
29,148,26025,16112
30,151,23528,30421
31,152,18514,27795
32,153,10665,25201
33,154,27622,24869
34,155,16112,26025
35,157,19407,28160
36,159,19154,26904
37,160,23506,22862
38,162,23506,21652
39,163,23042,18765
40,164,21652,23508
41,165,21953,21031
42,166,28095,17885
43,167,24598,25416
44,168,26034,29444
45,169,23511,21036
46,172,23853,29117
47,174,19133,18190
48,175,25200,10665
49,176,18190,19133
50,177,24312,24073
51,178,29117,22277
52,180,16984,26666
53,182,18435,23043
54,184,16112,26025
55,185,32296,31158
56,186,18528,26931
57,188,18573,25241
58,189,7661,6885
59,190,22557,22235
60,191,21652,21358
61,192,21360,23767
62,194,24070,25195
63,195,21951,21390
64,196,31158,32800
65,197,21389,21644
66,198,23043,18762
67,199,20417,21386
68,200,32806,32296
69,202,24882,18563
70,203,25778,16113
71,205,24609,19134
72,206,25431,10665
73,207,24610,24366
74,208,26626,22463
75,209,26626,27225
76,210,25432,26695
77,211,19793,20395
78,212,24072,25234
79,213,26025,16112
80,214,18567,24072
81,215,13361,11054
82,216,21690,24442
83,220,23853,22277
84,222,22277,22764
85,223,22460,22277
86,224,19800,26968
87,225,11051,26709
88,226,16112,26025
89,229,21690,23853
90,230,22557,24061
91,232,23760,22515
92,233,25517,25224
93,237,26084,25224
94,239,22797,21576
95,241,19154,26624
96,243,25778,24667
97,244,27531,29212
98,247,20112,27014
99,248,26712,29057
100,252,24274,23443
101,253,18435,23042
102,254,28095,29094
103,255,27548,23762
104,258,23137,18114
105,259,23473,20395
106,262,26305,25478
107,263,23853,21691
108,264,25520,26089
109,265,24557,18535
110,266,29617,21968
111,267,20395,18261
112,268,22277,29117
113,269,18114,19094
114,270,25432,24072
115,272,26625,19154
116,274,26710,11051
117,277,21968,23240
118,278,25778,24056
119,279,26079,24651
120,281,25765,23196
121,282,23239,24671
122,283,24670,21975
123,284,18770,17528
124,287,21690,14908
125,288,21606,21576
126,289,11051,11051
127,291,20098,22826
128,293,22826,21367
129,294,21605,21576
130,295,24024,24561
131,296,24563,23137
