,cyclist_id,origin,destination
0,52,24323,20393
1,53,24323,20393
2,56,19769,27795
3,114,26685,28416
4,115,22277,29447
5,116,28826,22579
6,118,21689,22459
7,121,13393,18579
8,122,21690,28215
9,123,27938,22578
10,124,22278,28827
11,125,28826,22579
12,128,16112,26024
13,129,21690,23852
14,130,23757,21644
15,131,11427,12005
16,132,21979,21368
17,133,19792,26904
18,134,21367,22557
19,135,27914,25418
20,137,26311,26042
21,139,19445,28093
22,140,27798,17885
23,141,10025,19726
24,142,20419,23200
25,143,27796,17885
26,144,25201,11010
27,145,28161,19407
28,147,11027,11753
29,148,26025,16112
30,151,23528,30421
31,152,18512,27795
32,153,10662,25201
33,154,27621,24597
34,155,16112,26024
35,157,19407,27862
36,159,19470,26904
37,160,23505,23506
38,162,23505,21652
39,163,23041,19069
40,164,21366,23507
41,165,21953,21031
42,166,27795,17885
43,167,24871,25415
44,168,26034,29740
45,169,23510,21037
46,172,23853,28827
47,174,19133,18190
48,175,24890,10662
49,176,18193,19133
50,177,24312,24072
51,178,28826,22277
52,180,16984,26326
53,182,18762,23042
54,184,16112,26025
55,185,32296,31161
56,186,18528,26931
57,188,18885,25241
58,189,7661,6885
59,190,22557,22235
60,191,21366,21032
61,192,21360,23483
62,194,24070,25196
63,195,21951,21390
64,196,31157,32789
65,197,21389,21645
66,198,23043,18764
67,199,20418,21386
68,200,32806,32296
69,202,25191,18872
70,203,24922,16392
71,205,24609,19459
72,206,25435,10662
73,207,24611,24366
74,208,26905,22461
75,209,26300,27224
76,210,25434,26694
77,211,20097,20395
78,212,24073,25234
79,213,26025,16112
80,214,18877,24073
81,215,13029,11054
82,216,21060,25286
83,220,23853,22277
84,222,22276,23086
85,223,22460,22277
86,224,19799,26968
87,225,11051,26709
88,226,16112,26025
89,229,21690,23852
90,230,22263,24061
91,232,23759,22514
92,233,25517,25224
93,237,26084,25224
94,239,22797,21576
95,241,19154,26624
96,243,24922,24667
97,244,27225,28908
98,247,20740,27014
99,248,27010,29057
100,252,24274,23443
101,253,18762,23042
102,254,28098,29092
103,255,27238,23762
104,258,23136,18114
105,259,23472,20395
106,262,26025,25477
107,263,23853,21691
108,264,25520,26090
109,265,24557,18535
110,266,29316,21968
111,267,20395,18581
112,268,22276,28827
113,269,18114,19094
114,270,25198,24072
115,272,26626,19154
116,274,26366,11051
117,277,21968,23240
118,278,25471,24056
119,279,26079,24649
120,281,25765,23195
121,282,22895,24964
122,283,24669,21975
123,284,18443,17528
124,287,21690,14908
125,288,21608,21893
126,289,11050,11051
127,291,20417,22827
128,293,22525,21367
129,294,21312,21576
130,295,24600,24836
131,296,24272,23135
132,298,18573,25241
133,299,27883,30588
134,300,24930,25780
135,303,20991,21652
136,304,20710,19792
137,305,17608,16986
138,306,28396,26604
139,307,14910,22277
140,309,22277,28827
141,310,22895,22255
142,311,19776,15483
143,314,22284,25282
144,315,27226,14310
145,316,13712,14844
146,330,16842,22757
147,331,23198,22002
148,333,23239,21968
149,334,21970,21978
150,335,17933,20104
151,336,21680,28795
152,337,28472,26974
153,338,22002,24082
154,339,21969,23239
155,343,30961,21744
156,345,30955,24310
157,346,27287,27621
158,347,26724,27001
159,348,27288,24869
160,349,18885,25241
161,350,18891,22821
162,352,16112,26025
163,353,23239,29937
164,354,15369,16842
165,355,29737,26037
166,356,21690,23852
167,358,18253,25541
168,359,28774,23160
169,360,26969,19799
170,361,21029,28142
171,367,20396,24100
172,368,24100,20396
173,369,21941,22557
174,371,25813,26362
175,372,20727,24126
176,375,22014,28803
177,376,26036,30961
178,381,26309,10448
179,383,21439,30656
180,384,22227,19480
181,386,26304,16112
182,388,24875,27293
183,389,21608,21608
184,391,23195,18253
185,392,28418,20102
186,395,26086,25259
187,397,13367,27035
188,398,22873,22557
189,399,24153,28827
190,400,25224,23153
191,401,21985,16117
192,402,23474,26368
193,403,23759,19478
194,404,24346,19792
195,405,26362,17618
196,406,28826,22579
197,408,30961,21744
198,410,30955,24310
199,411,27288,24024
200,412,21389,21953
201,413,22523,21953
202,414,20705,18839
203,416,18891,22517
204,417,18889,27935
205,418,16986,26024
206,419,18527,21639
207,421,15369,16842
208,422,23970,16317
209,423,19462,28102
210,424,28160,23160
211,425,21060,23852
212,426,28140,28104
213,427,19771,27840
214,428,27600,29785
215,430,21606,21576
216,431,20099,28161
217,432,18535,27231
218,433,18252,18811
219,434,24381,24081
220,435,21035,17271
221,438,18527,28141
222,439,23500,15481
223,440,23232,28804
224,441,21845,17580
225,442,26036,27252
226,443,30656,26036
227,444,20402,18894
228,448,16882,24538
229,449,21389,20709
230,451,27809,21677
231,452,21744,30656
232,453,24598,27620
233,454,29617,21968
234,455,24604,23802
235,457,27936,18889
236,458,23853,21400
237,459,20102,22292
238,460,27638,20398
239,461,19790,18239
240,462,26025,19151
241,463,20728,24086
242,464,24093,29728
243,465,22582,22764
244,467,19152,15480
245,468,15199,15810
246,469,21034,21034
247,470,28397,26268
248,471,19464,15458
249,472,23505,24239
250,473,24239,22861
251,474,26330,16118
252,475,26976,22237
253,476,24363,25424
254,477,24609,24072
255,479,28170,30656
256,480,22460,22277
257,482,20399,27638
258,483,30659,21744
259,484,30015,26929
260,485,27213,29108
261,488,21951,21389
262,489,16112,26025
263,493,25460,25216
264,494,25509,22554
265,497,27288,24869
266,499,22276,25168
267,500,21400,23852
268,502,23157,23157
269,503,19134,24610
270,504,28163,18864
271,506,18861,18211
272,507,18542,18232
273,508,21604,21576
274,510,27257,26034
275,515,25252,23496
276,516,22013,28804
277,518,26086,25479
278,519,29114,26742
279,520,27959,29741
280,521,27829,25954
281,522,27638,20398
282,523,18558,19790
283,526,19472,20712
284,527,25449,24902
285,528,26037,30635
286,530,18494,18927
287,531,24090,24024
288,533,27250,26369
289,534,28165,20420
290,536,25224,25239
291,538,24880,23506
292,539,22825,19476
293,540,22230,18890
294,542,28119,25478
295,544,27538,19457
296,546,24871,27029
297,547,23853,25491
298,550,16656,22262
299,551,18500,25213
300,554,24889,23757
301,555,30770,30774
302,556,22261,16645
303,557,24108,19470
304,558,26025,16112
305,559,24964,18921
306,560,21576,21605
307,561,30046,24371
308,565,24964,24404
309,568,21439,30656
310,570,26088,29439
311,571,24645,20395
312,572,24633,22238
313,573,26975,28821
314,576,26063,17873
315,578,27168,31231
316,579,20398,27638
317,580,22240,27799
318,581,30067,25192
319,582,10448,26705
320,583,26537,28142
321,584,30659,21442
322,586,21051,26033
323,587,30956,24310
324,588,25241,25424
325,589,20725,28453
326,592,23817,27210
327,593,23502,27515
328,594,27288,24597
329,595,17282,26666
330,597,19799,26337
331,601,20723,22825
332,602,24628,24882
333,603,23511,27208
334,604,19167,27242
335,605,27035,13368
336,607,15370,16842
337,609,20937,26329
338,610,25255,22555
339,612,30042,23685
340,613,20726,28163
341,614,25953,21036
342,615,18247,21356
343,616,24895,26655
344,617,25659,29758
345,621,26716,23768
346,622,24088,17531
347,623,25224,24638
348,624,25240,26046
349,625,21400,24597
350,626,28511,24881
