id_origine,path,original_length,purpose,node_path
1000,"[1050280, 1050297, 1050281, 1050282, 1050378, 1050379, 1050399, 1050380, 1050143, 1050381, 1050382, 1050031, 1050383, 1050336, 1050384, 6040, 6041, 4934, 4936, 4935, 1180, 4201, 1172, 6625, 1040561, 1040562, 1040102, 1279, 4951, 1310, 1040563, 1040101, 4003280, 4204, 7118, 4013714, 6050, 4959, 4013713, 5306, 1040171, 1040375, 1110381, 4010977, 4518, 1110351, 7193, 7194, 1110278, 1625210, 4009753, 1110042, 1110277, 1110481, 1110276, 1120216, 1120128, 1120215, 1120208, 5002, 5003, 1120281, 5001, 1120085, 5004, 1120172, 7192, 6151, 7191, 4990, 7190, 1150004, 7189, 6129, 5000, 1150199, 4999, 236, 4014882, 4014883, 4014885, 231, 4014879, 4014878, 4014876, 1, 7181, 4243, 1230037, 4242, 7187, 7188, 5630, 1230260, 7180, 5319, 3808, 1230544, 4987, 1230212, 6102, 6098, 1230345, 5931, 1220137, 1220136, 4008236, 1220135, 1220032]",8750.0,Social,"[13394.0, 13395.0, 13069.0, 13397.0, 13399.0, 13400.0, 13401.0, 13402.0, 13403.0, 13735.0, 13733.0, 13731.0, 14042.0, 14041.0, 14348.0, 14347.0, 14628.0, 15233.0, 15501.0, 15827.0, 16131.0, 16128.0, 16414.0, 16412.0, 16410.0, 16693.0, 17001.0, 17002.0, 17000.0, 17302.0, 17295.0, 17293.0, 16997.0, 16996.0, 17291.0, 17624.0, 17626.0, 17933.0, 18578.0, 18889.0, 19478.0, 19798.0, 20421.0, 20726.0, 21387.0, 21983.0, 21680.0, 21681.0, 21682.0, 21991.0, 21988.0, 21985.0, 21984.0, 22264.0, 22262.0, 22261.0, 22260.0, 22556.0, 22858.0, 22859.0, 22860.0, 23194.0, 23195.0, 23500.0, 23499.0, 23779.0, 24370.0, 24369.0, 24645.0, 24644.0, 24365.0, 24363.0]"
1001,"[237, 227, 656, 1625745, 4015716, 223, 653, 222, 652, 221, 4015718, 220, 926, 1041, 1371114, 1371503, 7, 7995, 6217, 5091, 6216, 7272, 6215, 6214, 4016099, 4016100, 4016102, 4016101, 4279, 4281, 4280, 5094, 4010519, 4012541, 4010701, 4010515, 4007883, 4007718, 4002867, 4000991, 1601260, 1601266, 1601265, 5377, 1601267, 1601296, 5380, 5381, 1601302, 1601301, 1601303, 4007715, 1601306, 4007716, 1601405, 1601461, 1601429, 1601462, 1601430, 1601425, 1601431, 1601426, 1601432, 1601427]",5388.0,other,"[27468.0, 26272.0, 26270.0, 26271.0, 26269.0, 25989.0, 25988.0, 25394.0, 25149.0, 25148.0, 25146.0, 25147.0, 24838.0, 24836.0, 24835.0, 24834.0, 24832.0, 24833.0, 25142.0, 25141.0, 25391.0, 25390.0, 25389.0, 25388.0, 25386.0, 25384.0, 25378.0, 25377.0, 25376.0, 25375.0, 25374.0, 25668.0, 25667.0, 25665.0, 25661.0, 25967.0, 25963.0, 25962.0, 25959.0, 25958.0, 25957.0, 25955.0, 25954.0, 25953.0, 25952.0, 25951.0, 25950.0, 25949.0, 25948.0, 25947.0]"
1006,"[4448, 1410584, 4012583, 900, 157, 1410655, 1410531, 1410379, 1410034, 133, 1625408, 1410626, 579, 156, 601, 1410288, 1625358, 1614623, 1410251, 1614624, 4006852, 1410665, 1410231, 154, 1410666, 4009905, 4009800, 153, 4009904, 1410304, 152, 1410463, 151, 1410085, 907, 6913, 1410646, 1410364, 1410314, 1410645, 1410051, 1410644, 1410208, 4788, 595, 1410216, 1410700, 1410302, 1410301, 1410242, 1625407, 1410483, 1624254, 906, 149, 1410043, 191, 624, 192, 912, 1390681, 431, 1390680, 1390208, 627, 1390207, 1311, 1390300, 628, 195, 1390663, 629, 4008472, 5925, 1624148, 430, 1187, 1390521, 1188, 4007893, 1773, 1625386, 1625387, 5932, 4017100, 914, 6948, 5933, 1390594, 6955, 4002970, 1380806, 4002966, 1380805, 1380804, 1380803, 1380802, 1380669, 1380801, 1381320, 1380800, 4002961, 1380799, 4002960, 1380798, 4002959, 1380797, 5524, 4002958, 5523, 1380796, 4002957, 1380794, 1380793, 1380792, 1380791, 1380441, 1380790, 6956, 1381220, 1380084, 4839, 4841, 1381017, 4844, 1380860, 4848, 4847, 1381040, 1380625, 1381105, 1380657, 1381630, 4125, 1380748, 1624134, 1380424, 1380750, 1260070, 4875, 4870, 1260124, 4871, 1260036, 1260947]",7935.0,Magasinage,"[30656.0, 30958.0, 30946.0, 30640.0, 30646.0, 30643.0, 30640.0, 30641.0, 30638.0, 30636.0, 30634.0, 30632.0, 30631.0, 30630.0, 30627.0, 30625.0, 30621.0, 30618.0, 30616.0, 30617.0, 30614.0, 30332.0, 30605.0, 30333.0, 30331.0, 30327.0, 30325.0, 30326.0, 30323.0, 30321.0, 30322.0, 30319.0, 30316.0, 30322.0, 30019.0, 30026.0, 30024.0, 30022.0, 30019.0, 30018.0, 30015.0, 30011.0, 30009.0, 30008.0, 29710.0, 29714.0, 29712.0, 29710.0, 29708.0, 29707.0, 29705.0, 29701.0, 29417.0, 29416.0, 29415.0, 29414.0, 29411.0, 29410.0, 29409.0, 29408.0, 29402.0, 29403.0, 29396.0, 29395.0, 29392.0, 29394.0, 29391.0, 29388.0, 29387.0, 29080.0, 29078.0, 29076.0, 29074.0, 29075.0, 28777.0, 28774.0, 28773.0, 28772.0, 28771.0, 28457.0, 28454.0, 28451.0, 28450.0, 28448.0, 28166.0, 28164.0, 28162.0, 27864.0, 28160.0, 27862.0, 27860.0, 27861.0, 27858.0, 27857.0, 27574.0, 27572.0, 27570.0, 27250.0, 26976.0, 26975.0, 26974.0, 26681.0, 26678.0, 26332.0, 26053.0, 26052.0, 26051.0, 26048.0, 25739.0, 25738.0, 25735.0, 25734.0, 25433.0, 25431.0, 25429.0]"
10061,"[1601151, 1601150, 7243, 1601136, 7242, 1601167, 1262, 4268, 7244, 7247, 1604275, 7248, 1604276, 7245, 4013437, 4013735, 5073, 5074, 5077, 1330292, 5076, 4016080, 5080, 1330181, 5079, 5078, 7249, 4015085, 4015084, 4015067, 4015073, 5678, 5679, 4015058, 5675, 1330624, 6646, 5677, 1600594, 5687, 1600595, 5688, 1600597, 5347, 1330262, 5348, 1330603, 5349, 5353, 5352, 1330308, 5354, 1600549, 5356, 5355, 5351, 6203, 5695, 5696, 1330598, 6247, 1330028, 6243, 1330055, 6241, 4015936, 4015934, 1321000]",3923.0,Errand,"[21605.0, 21606.0, 21607.0, 21312.0, 20986.0, 20984.0, 20651.0, 20650.0, 20649.0, 20351.0, 20350.0, 20349.0, 20026.0, 20025.0, 20024.0, 20023.0, 19726.0, 19724.0, 19725.0, 19718.0, 19712.0, 19717.0, 19713.0, 19400.0, 19397.0, 19395.0, 19391.0, 19390.0, 19386.0, 19076.0, 19075.0, 18770.0, 18769.0, 18768.0, 18441.0, 18439.0, 18437.0, 18111.0, 18108.0, 17806.0, 17805.0, 17493.0, 17491.0, 17177.0, 16875.0, 16874.0, 17175.0, 17176.0]"
1008,"[1260958, 4457, 4873, 1260947, 4872, 1260035, 4871, 1260123, 4870, 1260070, 1380750, 1380423, 1624134, 1380748, 4127, 4124, 1381630, 1380200, 1380657, 1381105, 1380625, 1381040, 1380626, 1380629, 1380632, 1380862, 1380633, 1380432, 1380634, 1380635, 4008499, 1380636, 4008500, 4011697, 5253, 4011698, 1381442, 4014908, 4014909, 4014905, 4014904, 1220005, 4835, 1220339, 4836, 4837, 4838, 4840, 1220213, 1020, 1221000, 1220360, 937, 244, 5243, 1220036, 4830, 1220138, 1230344]",3866.0,Magasinage,"[25194.0, 25193.0, 25429.0, 25431.0, 25433.0, 25734.0, 25735.0, 25738.0, 25739.0, 26048.0, 26051.0, 26052.0, 26053.0, 26054.0, 26056.0, 26334.0, 26336.0, 26337.0, 26338.0, 26339.0, 26340.0, 26342.0, 26343.0, 26340.0, 26345.0, 26066.0, 26068.0, 26071.0, 25766.0, 25768.0, 25770.0, 26075.0, 26076.0, 26079.0, 26080.0, 25777.0, 25778.0, 25224.0, 24924.0, 24645.0, 24369.0]"
10096,"[1320327, 1320388, 1320298, 1320397, 1320299, 1320301, 1320144, 1320302, 1320303, 1320071, 1320304, 1602129, 1602164, 4013503, 1602167, 4013504, 1602170, 4017231, 4017232, 4004330, 5388, 1602150, 1602140, 1602126, 1602148, 1602125, 1602136, 4001134, 4009349, 1602134, 4015891, 4015890, 4015887, 4015889, 1605797, 4012440, 1605793, 1605960, 1605794, 1605959, 1605795, 1605811, 1605814, 1605813, 1605815, 4016809, 5110, 5109, 1605849, 4014299, 4011355, 4017120, 4011360, 4017121, 4012760, 4014562, 1605837, 4016808, 1605857, 4002670, 5697, 4006621, 868, 52, 501, 200, 1021, 1129, 202, 634, 1604513, 920, 1091, 635, 921, 636, 205, 4015721, 206, 922, 1280, 207, 638, 1350033, 214, 644, 215, 645, 1350613, 1350614, 216, 4007751, 217, 919, 4012556, 647, 4012557, 218, 1331, 1324, 649, 219, 1041, 648, 7903, 850, 4006067, 4006066, 4006068, 4006896, 1360632, 1360272, 1360631, 1360593, 1360630, 1360629, 4275, 1360628, 1360445, 1625066, 1360625, 1360623, 4014978, 4014979, 4011380, 4009547, 4009553, 4016683, 4014977, 4014976, 1260313, 1260010, 1260768, 1260011, 1261068, 1624020, 1625090, 1260942, 1625637, 4012278, 4008735, 4008737, 4008734, 4008736]",11553.0,Commute,"[14761.0, 14472.0, 14758.0, 14757.0, 14756.0, 14755.0, 14753.0, 14469.0, 14468.0, 14467.0, 14465.0, 14463.0, 14462.0, 14461.0, 14460.0, 14458.0, 14459.0, 14457.0, 14746.0, 14453.0, 14451.0, 14450.0, 14448.0, 14446.0, 14439.0, 14438.0, 14436.0, 14156.0, 14155.0, 14154.0, 14153.0, 13828.0, 13827.0, 13826.0, 13823.0, 13821.0, 14151.0, 13818.0, 13815.0, 13813.0, 13811.0, 14144.0, 14145.0, 14142.0, 14147.0, 15346.0, 15674.0, 16276.0, 16556.0, 16846.0, 17164.0, 16847.0, 17165.0, 18102.0, 18103.0, 18758.0, 19999.0, 20948.0, 20950.0, 20949.0, 20951.0, 21264.0, 21261.0, 21262.0, 21263.0, 21562.0, 21564.0, 21885.0, 22174.0, 22173.0, 22449.0, 22756.0, 22754.0, 22757.0, 23081.0, 23079.0, 23081.0, 23082.0, 23389.0, 23387.0, 23684.0, 24557.0, 24558.0, 24836.0, 24561.0, 24562.0, 24563.0, 24564.0, 24272.0, 24274.0, 24277.0, 24278.0, 23992.0, 23994.0, 23997.0, 23999.0, 23704.0, 23708.0, 23710.0, 23711.0, 23712.0, 23710.0, 23713.0, 23716.0, 23717.0, 23433.0, 23435.0, 23437.0, 23439.0, 23125.0, 23131.0, 23130.0, 22799.0]"
10099,"[7189, 6129, 5000, 1150199, 4999, 236, 4014882, 4014885, 4014879, 4014878, 1, 7181, 6109, 1230416, 6110, 6111, 6108, 1230467, 1230089, 1230468, 1230245, 1230469, 1230470, 1230167]",1671.0,Social,"[20726.0, 21387.0, 21983.0, 21680.0, 21681.0, 21682.0, 21991.0, 21988.0, 21985.0, 21984.0, 22264.0, 22262.0, 22263.0, 22557.0, 22558.0, 22559.0, 22560.0, 22861.0, 22862.0]"
1010,"[1110550, 1110210, 1100349, 1100348, 1110320, 1100347, 1110060, 1100346, 1110410, 1100345, 1100344, 1625212, 1120281, 5001, 1120084, 5004, 7192, 7191, 7190, 7189, 5642, 5000, 1140290, 4999, 236, 4014882, 4014880, 4014881, 4014883, 231, 4014879, 4014878, 4014876, 1, 7181, 6109, 6110, 6111, 6108, 1230260, 7180, 1230497, 1230544, 4987, 1230212, 6102, 1230189, 6098, 1230345, 5931, 4830, 1220043, 1220036, 244, 1220357, 1220218, 4002982, 1220217, 1220358, 4002981, 1220359, 1220216, 1220215, 1220002, 1220214, 1220360, 1220213, 4840, 1220155, 4838, 4837, 1220316, 4836, 1220340, 4835, 4002984, 1220367, 1220062, 1221004, 1221003, 1220365, 1380879, 1381442, 4011698, 5253, 4011930, 5252, 7850, 4012069, 7851, 7852, 5254, 4008551, 1380084, 6956, 1381402, 5052, 5053, 1380356, 4843, 4846, 4017450, 4017760, 4017761, 4861, 4012176, 4854, 5256, 1381115, 5255, 1380161, 1381439, 1381142, 1381438, 1380345, 6957, 6965, 6964, 6963, 1380408, 6962, 6969, 1625248, 1624105, 1380217, 1381385, 1380218]",10048.0,Sport,"[18264.0, 18582.0, 18261.0, 18260.0, 18259.0, 18258.0, 17936.0, 17934.0, 17933.0, 18578.0, 18889.0, 19478.0, 19798.0, 20421.0, 20726.0, 21387.0, 21983.0, 21680.0, 21681.0, 21682.0, 21991.0, 21988.0, 21985.0, 21984.0, 22264.0, 22262.0, 22263.0, 22557.0, 22558.0, 23195.0, 23500.0, 23499.0, 23779.0, 24370.0, 24369.0, 24645.0, 24924.0, 25224.0, 25223.0, 25222.0, 25470.0, 25776.0, 25775.0, 26081.0, 26079.0, 26076.0, 26075.0, 25770.0, 25768.0, 25766.0, 25765.0, 25764.0, 25763.0, 26069.0, 26067.0, 26065.0, 26343.0, 26341.0, 26342.0, 26689.0, 26690.0, 26688.0, 26685.0, 26686.0, 26977.0, 26978.0, 26976.0, 27250.0, 27570.0, 27569.0, 27853.0, 27852.0, 27849.0, 27848.0, 27847.0, 28147.0, 28145.0, 27845.0, 27846.0, 27847.0, 28147.0, 28146.0, 28425.0, 28421.0, 28420.0, 28741.0, 28740.0, 28739.0, 28738.0, 28413.0, 28408.0, 28406.0, 28404.0, 28401.0, 28402.0, 28403.0, 28400.0, 28112.0]"
1011,"[1030158, 1030176, 1030537, 1030175, 1030174, 1030510, 1030168, 1031156, 1031155, 1030169, 1030289, 1030170, 1031104, 1031103, 1030171, 1050087, 6523, 1050343, 6522, 1050476, 1050370, 4015995, 4015996, 4015994, 1040347, 3871, 1040066, 3870, 1040297, 1040042, 4955, 3869, 1040506, 1041165, 1625195, 4010961, 1110382, 1110107, 4013111, 4013109, 1110339, 1110489, 1110237, 1885, 1110236, 5008, 1110235, 5006, 1110266, 5013, 1120118, 5012, 1120270, 5011, 5010, 1120186, 5009, 6154, 1120109, 6153, 1120020, 6159, 1120027, 5005, 1121102, 4549, 1140292, 4548, 1140257, 4547, 1140044, 4546, 1140156, 4545, 1140371, 4544, 1140013, 4543, 5660, 4012173, 4016041, 4016040, 234, 4016043, 4016042, 1240426, 4014488, 4014490, 6180, 4012171, 5024, 6160, 5023, 1240378, 5022, 1240124, 5021, 7197, 6161, 1240216, 5027, 1240337, 1240439, 5026, 7198, 5029, 1240252, 829, 6166, 1240254, 1240190, 1240255, 1240263, 1240256, 1625542, 1260187, 4011658, 4017803, 1623961, 1260084, 723, 310, 4017867, 720, 962]",11077.0,Sport,"[12078.0, 12081.0, 12083.0, 12084.0, 12086.0, 12088.0, 12089.0, 12090.0, 12091.0, 12092.0, 12093.0, 12373.0, 12714.0, 13053.0, 13052.0, 13051.0, 13380.0, 14031.0, 14333.0, 14905.0, 15220.0, 15216.0, 15819.0, 15822.0, 15214.0, 15485.0, 15811.0, 16113.0, 16112.0, 16111.0, 16391.0, 16984.0, 17282.0, 17607.0, 17922.0, 18244.0, 18243.0, 17918.0, 17917.0, 18241.0, 18561.0, 18560.0, 18867.0, 18866.0, 19154.0, 19471.0, 20093.0, 19784.0, 19783.0, 20091.0, 19780.0, 20089.0, 20088.0, 20087.0, 19777.0, 19775.0, 20085.0, 20080.0, 20398.0, 20711.0, 21366.0, 21651.0, 21649.0, 21955.0, 21954.0, 22234.0, 22824.0, 22524.0, 22523.0, 22522.0, 22521.0, 22519.0, 22518.0, 22230.0, 22228.0, 22225.0, 22517.0, 22821.0, 22820.0, 22818.0, 22512.0]"
10117,"[1260445, 1260292, 1260053, 1260446, 4008724, 4002897, 4008726, 1260447, 1260448, 1260895, 1260449, 4459, 1260450, 1614660, 1260734, 1614643, 1260465, 1260733, 1260977, 1260732, 5258, 1261218, 1260962, 7625, 4141, 4866, 6992, 1250086, 6991, 4880, 4879, 1250138, 4878, 4869, 4012232, 4868, 1250035, 4867, 1250375, 1250376, 1250093, 1250377, 1250243, 1250378, 1250379, 1250337, 1250380, 1250381, 1250006, 1250382, 1250383, 5337, 1625079, 1250386, 1250387, 1240250, 1240343, 1240344, 4003149, 1240335, 1240345, 1240346, 1240123, 1240348, 1240349, 1240350, 1240225, 1240351, 7947, 1240353, 1240354, 4014490, 4014488, 5661, 4016042, 4016043, 234, 4016041, 5660, 4012173, 1140342, 1140343, 1140344, 1140346, 1140347, 1140348, 1140349, 1140350, 1140351, 1140352, 1625648, 4003240, 1120254, 4003243, 1120255, 1120257, 1120259, 4003245, 1120260, 1120261, 4009621, 4009620, 4009631, 1110596, 1110232, 1110233, 1110234, 1110216, 1110235, 5008, 5006]",8568.0,Domicile-travail,"[26025.0, 26026.0, 25714.0, 25715.0, 25422.0, 25188.0, 24882.0, 24883.0, 24608.0, 24886.0, 24888.0, 24889.0, 24609.0, 24610.0, 24611.0, 24328.0, 24329.0, 24612.0, 24613.0, 24614.0, 24894.0, 24895.0, 25206.0, 25207.0, 24896.0, 24897.0, 24625.0, 24626.0, 24345.0, 24346.0, 24347.0, 24058.0, 23759.0, 23159.0, 23160.0, 22826.0, 22525.0, 21958.0, 21959.0, 21960.0, 21652.0, 21367.0, 20712.0, 20399.0, 20401.0, 20084.0, 20085.0, 20086.0, 20087.0, 20088.0, 20089.0, 19780.0, 20091.0, 19783.0, 19787.0, 19469.0, 19470.0, 19153.0, 18864.0, 18865.0, 18557.0, 18558.0, 18559.0, 18237.0, 18238.0, 18239.0, 18240.0, 17914.0, 17916.0, 17601.0, 17603.0, 17277.0, 16673.0, 16675.0, 16385.0, 16386.0, 15807.0, 15808.0, 15809.0, 16110.0, 16111.0]"
