fid,ID_TRC,CLASSE,SENS_CIR,NOM_VOIE,POSITION_R,ID_CYCL,slope_edit,length,umbrell_id,slope,Q85,NBLane,ADT,centerline,Estmt,DJMA_d,CL_d,CL_x,DIVIDED,lts,lts_c,lts_w,lts_c_w,lts_negD,Reach,BLanW,TYPE_VOIE,TYPE_VOIE2,ParkW,contraReac,contraLanW,contraParW,Reach_negD,BLanW_negD,ParkW_negD,asymmetric,GESTION_R,ed_typvoi,ed_typvoi2,drvewayVis,Narrow1Way,PROTEGE_4S,NBR_VOIE,LOCALISATI,LOCALIS_2,cn_Buff_R,cn_Buff_L,Buffer_R,Buffer_L,ID_TRC_int
1,4004437,0,0,Dumais,5,0,0.014566357,83.594,0,0.014566357,34,1,518,0,518.813,0,0,-9999,NOT,1,-9999,1,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4004437
2,1100353,5,0,Villeray,5,0,-0.001638603,79.344,1,-0.001638603,34,2,5826,1,5826.255,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100353
3,1100352,5,0,Villeray,5,0,-0.001867939,80.309,2,-0.001867939,34,2,6506,1,6506.292,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100352
4,1100351,5,0,Villeray,5,0,0.005453432,78.857,3,0.005453432,34,2,6542,1,6542.043,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100351
5,1100350,5,0,Villeray,5,0,0.004948793,74.773,4,0.004948793,34,2,6505,1,6505.672,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100350
6,1100349,5,0,Villeray,5,0,-0.001089708,73.423,5,-0.001089708,34,2,6540,1,6540.75,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100349
7,1100348,5,0,Villeray,5,0,-0.005468141,66.859,6,-0.005468141,34,2,6345,1,6345.802,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100348
8,1100347,5,0,Villeray,5,0,-0.015046314,68.757,7,-0.015046314,42,2,6195,1,6195.323,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100347
9,1100346,5,0,Villeray,5,0,-0.012453751,87.533,8,-0.012453751,34,2,6254,1,6254.669,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100346
10,1100345,5,0,Villeray,5,0,-0.018382249,87.049,9,-0.018382249,34,2,6558,1,6558.787,0,1,-9999,NOT,3,-9999,3,-9999,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100345
