index,trip_id,id_origine,path,errors
0,1500,2264,,MM Error:No path between 14147 and 16556 in the graph.
1,1501,2265,,MM Error:4987
2,1503,2269,,MM Error:5022
3,1504,2270,,MM Error:6108
4,1505,2271,"[1220143, 1220147, 1220146, 1220145, 4824, 4823, 4822, 4827, 4826, 5243, 5242, 1220356, 1220218, 1220217, 1220216, 1220215, 1220214, 1220213, 4840, 4838, 4837, 4836, 4835, 4918, 4014906, 4014907, 4014911, 4014910, 5253, 5252, 7850, 7851, 7852, 5254, 4839, 4841, 4844, 4848, 4847, 1381039, 1381038, 1381210, 1380068, 1380174, 1380140, 1380141, 4006979, 1381038, 1381037, 1624334, 1381036, 4002950, 1381035, 1380348, 1381101]",minor
5,1506,2272,"[1600532, 1310234, 1310233, 1310232, 1310231, 1310230, 4612, 4613, 6650, 6651, 3936, 3938, 3939, 3940, 3937, 3941, 3934, 3935, 1300091, 1300092, 1300357, 1600375, 1600376, 1291214, 6176, 6176, 6176, 5651, 5652, 5650, 5645, 5647, 5648, 5649, 5646, 5644, 5643, 6568, 3924, 6567, 6566, 1280325, 1280326, 1600008, 1600017, 1600016, 1600014, 4009131, 4009138, 4009129, 1603483, 1625469, 1625470, 1600011, 1600011, 1625471, 1280034, 1280035, 1603533, 1603509, 1603511, 1603529, 1603513, 4003191, 1603503, 1603503, 4003191, 5758, 5761, 4003192, 1603439, 1603424, 1603423, 1603425, 4003208, 4000835, 1603370, 1603369, 1603364, 1603364, 1603352, 1603352, 1603363, 1603362, 1603354, 1603356, 1603357, 1610543, 1610541, 1610540, 1610539, 1610376, 1610374, 1610372, 1610370, 1610368, 4006162, 4006965, 4006964, 4006173, 4006172, 4003231, 1130161, 1130161, 1130161, 1130160, 1130291, 1130037, 1130036, 1130035, 1130034, 1130033, 1130032, 1130031, 1130031, 7847, 7844, 4014808, 4014807, 4014806, 1110291, 1110289, 4013662, 4013663, 4009622, 4009623, 4003247, 4003247, 4003247, 1120115, 1120116, 1120116]",minor
6,1507,2273,"[1040087, 4009717, 4009718, 1110073, 1110072, 1110071, 1110070, 1120056, 1120055, 1120054, 1120053, 1120052, 1120051, 1120050, 1120049, 1120048, 1120047, 4008709, 4008710, 4009617, 4009618, 1140113, 1140112, 1140111, 1140022, 1140023, 1140024, 1140025, 7190, 7191, 7192, 5004, 5001, 5003, 1120015, 1120016, 4009752, 4009753, 1110042, 1110043, 1110044, 1110045, 1110046, 1110332, 1110331, 1110518, 1110519, 1110520, 1625207, 4009720, 4009719, 4008648, 1625205, 1040169, 1040167]",no
7,1508,2275,,MM Error:4001725
8,1509,2276,,MM Error:4005875
9,1510,2277,,MM Error:4248
10,1511,2278,,MM Error:4009486
11,1512,2279,,MM Error:3782
12,1513,2280,"[4221, 1160310, 1160019, 1160018, 1160017, 1160016, 1160015, 1160014, 1150012, 1150011, 1150010, 1150009, 1150008, 1150007, 1150006, 1150005, 1150004, 1140025, 1140297, 1140296, 1140289, 4008176, 4008176, 4008176, 4008177, 1140287, 1140286, 1141105, 1141106]",no
13,1514,2281,"[1040012, 1040307, 1040306, 4003279, 1040563, 1040200, 1040199, 1040198, 1040197, 1040391, 1040302]",minor
14,1515,2282,,MM Error:No path between 30875 and 30884 in the graph.
15,1516,2283,"[1120117, 1120118, 5012, 5011, 5010, 5009, 1120130, 1140196, 1140195, 1140194, 1140193, 1140192, 1140191, 1140190, 1140189, 4015044, 1141107, 4015047, 1140424, 1141106, 4014888, 4014889, 4014893, 4014892, 4009123, 1230449, 1240043, 1240103, 1240102, 1240101, 1240330, 1240329, 1240328, 7932, 1240432, 1240431, 1240100, 1240099, 1240098, 1250066, 1250065, 1250064, 1250063, 1250062, 1250242, 3784, 3785, 1250346, 1250345, 1250344, 1250343, 1250343]",no
16,1517,2284,,MM Error:1622751
17,1518,2285,,MM Error:3780
18,1519,2286,,MM Error:No path between 30875 and 30884 in the graph.
19,1520,2287,,MM Error:No path between 30875 and 30884 in the graph.
20,1521,2288,,MM Error:No path between 30875 and 30884 in the graph.
21,1522,2289,"[1160253, 1160023, 1160353, 1160197, 1160255, 4224, 4225, 4225, 4225, 4226, 4227, 4228, 6077, 4230, 4231, 4232, 6081, 7889, 4235, 4236, 7157, 7158, 7159, 7160, 7161, 4214, 4213, 4206, 4207, 4208, 4209, 4210, 4211, 4212, 5310, 3877, 3878, 7868, 3880, 3881, 3882, 3883, 3884, 3885, 3886, 3887, 3888, 2653, 7874, 3891, 3892, 1180224, 1180110, 1612487, 4007802, 4017671, 5281, 1180162, 1612457, 4003619, 4003619, 1612453, 4003618, 4003618, 1612451, 1612491, 1612230, 1612226, 1612226]",minor
22,1523,2290,,MM Error:No path between 29465 and 29464 in the graph.
23,1524,2291,"[1230271, 1230282, 4003018, 1210210, 1210210, 1210210, 7652, 5623, 4536, 4535, 4540, 4539, 4538, 4006092, 4006091, 1230179, 1230348, 1230162]",no
24,1525,2293,"[4999, 1150199, 1150200, 1150191, 6139, 1150006, 1150007, 1150008, 1150009, 1150010, 1150011, 1150012, 1150012, 1150012, 1160014, 1160015, 1160016, 1160017, 1160017, 1160017, 1160018, 1160206, 1160207, 1160002, 1160208, 1100014]",no
25,1526,2294,"[1230192, 1230241, 1230215, 4006092, 4006090, 1230164, 4539, 4540, 4535, 4536, 5623, 4532, 7913, 4533, 1230270, 1230283]",minor
26,1527,2298,"[1260120, 1260383, 1260270, 1260269, 1260908, 1260907, 1260839, 7234, 7230, 1260269, 1260908, 1260907, 1260906, 1260905, 1604451, 1260566, 7232, 1260853, 1260905, 1604451, 1260566, 7232, 1260853, 1260905, 1260904, 1260903, 1260902, 1260059, 4604, 1260440, 4008720, 1260311, 1260750, 1260749, 1260748, 1260747, 1260746, 1260745, 1260207, 1260206, 1260900, 1260899, 1260243, 4601, 1260494, 1260899, 1260898, 1260897, 1260548, 1260549, 4461, 1260872, 1260897, 1260548, 1260549, 1260550, 1260738, 1260472, 1260471, 1260470, 1260895, 1260449, 1260450, 1614637, 4002941, 1260596, 1260595, 1260594, 1260947, 4873, 4462, 1260464, 1260596, 1260595, 1260594, 1260947, 1260410, 1260959, 1260594, 1260593, 1260592, 1260591, 1260590, 1260070, 1260069, 4008161, 4008160, 4008163, 1380422, 1380423, 1380424, 1380909, 1380905, 4126, 4125, 4124, 1381196, 1381195, 1381238, 4017220, 1380199, 4009270, 1380200, 1380657, 1380657, 1380657, 1380625, 1380626, 1380629, 1380632, 1380633, 1380634, 1380635, 1380635, 1380635, 1380636, 4011697, 4011698, 4011932, 1380639, 1380640, 1380641, 1380642, 1380643, 1380644, 1380645, 1380645, 1380645, 1380646, 1380647, 1380648, 1380649, 1380650, 1380651, 1380652, 1380008, 1380007, 1380006, 1380508, 1380507, 1380506, 1380505, 1380504, 1380503, 1380502, 1380501, 1380500, 1380499, 1380498, 1380497, 1380496, 1380495, 4839, 4841, 4844, 1380860, 1380861, 1380862, 1380863, 1624279, 1380877, 1381021]",major
